cid,behavior_id,adv_id,context
口上id,触发口上的行为id,口上限定的剧情npcid,口上内容
str,int,int,str
0,0,0,1
口上配置数据,,,
0,9,0,{PlayerNickName}闭上眼睛逐渐睡着了
1,9,0,「终于可以休息了」\n{PlayerNickName}疲惫的躺下了
2,9,0,宿舍里吵闹的声音让{PlayerNickName}翻来覆去睡不着
3,9,0,{PlayerNickName}疲惫的合上了眼睛
4,9,0,{PlayerNickName}将头蒙在被窝里哼起了歌
5,9,0,{PlayerNickName}躺在床上翻来覆去睡不着
6,9,0,{PlayerNickName}躺着聊起了天
7,9,0,{PlayerNickName}合上了沉重的眼睛
8,9,0,看着初升的太阳，{PlayerNickName}微笑着闭上了眼睛
9,9,0,看着初升的太阳，{PlayerNickName}迟疑着躺下了
10,9,0,宿舍里的大家还在不停聊天\n{PlayerNickName}冷哼一声蒙上了被子
11,9,0,{Name}闭上眼睛逐渐睡着了
12,9,0,{Name}躺着聊起了天
